BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,
trafico.nlogo,,,,,,,
experiment,,,,,,,
11/04/2024 21:50:26:740 -0600,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-3,3,,,,
[run number],velocidad_inicial,numero_de_carros,aceleracion,posicion_inicial,desaceleracion,[step],cuenta_global
2,homogenea,1,0.0045,homogenea,0.026,100000,19.61
1,homogenea,1,0.0045,homogenea,0.026,100000,19.61
5,homogenea,1,0.0045,homogenea,0.026,100000,19.61
3,homogenea,1,0.0045,homogenea,0.026,100000,19.61
4,homogenea,1,0.0045,homogenea,0.026,100000,19.61
6,homogenea,1,0.0045,homogenea,0.026,100000,19.61
7,homogenea,1,0.0045,homogenea,0.026,100000,19.61
8,homogenea,1,0.0045,homogenea,0.026,100000,19.61
9,homogenea,1,0.0045,homogenea,0.026,100000,19.61
11,homogenea,2,0.0045,homogenea,0.026,100000,39.21
10,homogenea,1,0.0045,homogenea,0.026,100000,19.61
12,homogenea,2,0.0045,homogenea,0.026,100000,39.21
13,homogenea,2,0.0045,homogenea,0.026,100000,39.21
15,homogenea,2,0.0045,homogenea,0.026,100000,39.21
16,homogenea,2,0.0045,homogenea,0.026,100000,39.21
14,homogenea,2,0.0045,homogenea,0.026,100000,39.21
18,homogenea,2,0.0045,homogenea,0.026,100000,39.21
17,homogenea,2,0.0045,homogenea,0.026,100000,39.21
20,homogenea,2,0.0045,homogenea,0.026,100000,39.21
19,homogenea,2,0.0045,homogenea,0.026,100000,39.21
22,homogenea,3,0.0045,homogenea,0.026,100000,58.81
21,homogenea,3,0.0045,homogenea,0.026,100000,58.81
23,homogenea,3,0.0045,homogenea,0.026,100000,58.81
24,homogenea,3,0.0045,homogenea,0.026,100000,58.81
26,homogenea,3,0.0045,homogenea,0.026,100000,58.81
25,homogenea,3,0.0045,homogenea,0.026,100000,58.81
27,homogenea,3,0.0045,homogenea,0.026,100000,58.81
28,homogenea,3,0.0045,homogenea,0.026,100000,58.81
29,homogenea,3,0.0045,homogenea,0.026,100000,58.81
31,homogenea,4,0.0045,homogenea,0.026,100000,78.41
30,homogenea,3,0.0045,homogenea,0.026,100000,58.81
32,homogenea,4,0.0045,homogenea,0.026,100000,78.41
33,homogenea,4,0.0045,homogenea,0.026,100000,78.41
34,homogenea,4,0.0045,homogenea,0.026,100000,78.41
35,homogenea,4,0.0045,homogenea,0.026,100000,78.41
36,homogenea,4,0.0045,homogenea,0.026,100000,78.41
38,homogenea,4,0.0045,homogenea,0.026,100000,78.41
39,homogenea,4,0.0045,homogenea,0.026,100000,78.41
37,homogenea,4,0.0045,homogenea,0.026,100000,78.41
40,homogenea,4,0.0045,homogenea,0.026,100000,78.41
41,homogenea,5,0.0045,homogenea,0.026,100000,98.01
42,homogenea,5,0.0045,homogenea,0.026,100000,98.01
43,homogenea,5,0.0045,homogenea,0.026,100000,98.01
45,homogenea,5,0.0045,homogenea,0.026,100000,98.01
44,homogenea,5,0.0045,homogenea,0.026,100000,98.01
46,homogenea,5,0.0045,homogenea,0.026,100000,98.01
47,homogenea,5,0.0045,homogenea,0.026,100000,98.01
49,homogenea,5,0.0045,homogenea,0.026,100000,98.01
48,homogenea,5,0.0045,homogenea,0.026,100000,98.01
51,homogenea,6,0.0045,homogenea,0.026,100000,117.61
50,homogenea,5,0.0045,homogenea,0.026,100000,98.01
52,homogenea,6,0.0045,homogenea,0.026,100000,117.61
53,homogenea,6,0.0045,homogenea,0.026,100000,117.61
54,homogenea,6,0.0045,homogenea,0.026,100000,117.61
55,homogenea,6,0.0045,homogenea,0.026,100000,117.61
56,homogenea,6,0.0045,homogenea,0.026,100000,117.61
58,homogenea,6,0.0045,homogenea,0.026,100000,117.61
57,homogenea,6,0.0045,homogenea,0.026,100000,117.61
59,homogenea,6,0.0045,homogenea,0.026,100000,117.61
60,homogenea,6,0.0045,homogenea,0.026,100000,117.61
61,homogenea,7,0.0045,homogenea,0.026,100000,137.22
62,homogenea,7,0.0045,homogenea,0.026,100000,137.22
63,homogenea,7,0.0045,homogenea,0.026,100000,137.22
65,homogenea,7,0.0045,homogenea,0.026,100000,137.22
64,homogenea,7,0.0045,homogenea,0.026,100000,137.22
66,homogenea,7,0.0045,homogenea,0.026,100000,137.22
67,homogenea,7,0.0045,homogenea,0.026,100000,137.22
68,homogenea,7,0.0045,homogenea,0.026,100000,137.22
69,homogenea,7,0.0045,homogenea,0.026,100000,137.22
70,homogenea,7,0.0045,homogenea,0.026,100000,137.22
71,homogenea,8,0.0045,homogenea,0.026,100000,156.82
72,homogenea,8,0.0045,homogenea,0.026,100000,156.82
73,homogenea,8,0.0045,homogenea,0.026,100000,156.82
75,homogenea,8,0.0045,homogenea,0.026,100000,156.82
74,homogenea,8,0.0045,homogenea,0.026,100000,156.82
76,homogenea,8,0.0045,homogenea,0.026,100000,156.82
78,homogenea,8,0.0045,homogenea,0.026,100000,156.82
77,homogenea,8,0.0045,homogenea,0.026,100000,156.82
79,homogenea,8,0.0045,homogenea,0.026,100000,156.82
81,homogenea,9,0.0045,homogenea,0.026,100000,176.42
80,homogenea,8,0.0045,homogenea,0.026,100000,156.82
82,homogenea,9,0.0045,homogenea,0.026,100000,176.42
83,homogenea,9,0.0045,homogenea,0.026,100000,176.42
85,homogenea,9,0.0045,homogenea,0.026,100000,176.42
84,homogenea,9,0.0045,homogenea,0.026,100000,176.42
87,homogenea,9,0.0045,homogenea,0.026,100000,176.42
86,homogenea,9,0.0045,homogenea,0.026,100000,176.42
88,homogenea,9,0.0045,homogenea,0.026,100000,176.42
